"","x"
"451",1085.8
"452",1164
"453",2.8
"454",25
"455",413.2
"456",7.2
"457",746.2
"458",1053.4
"459",1135.4
"460",1175.2
"461",1064.4
"462",472.2
"463",8
"464",811.8
"465",1004.2
"466",1223.6
"467",1283.8
"468",1176.2
"469",550.2
"470",3.4
"471",980.2
"472",1054.2
"473",1205.2
"474",1226.8
"475",1116.2
"476",536.2
"477",0.2
"478",856.4
"479",1013.8
"480",1151.4
"481",1300.2
"482",1018
"483",528.4
"484",7.8
"485",1182.8
"486",1205.4
"487",5
"488",1164
"489",1043.8
"490",506.6
"491",8.6
"492",741.6
"493",832
"494",1120.2
"495",1352.8
"496",1197.2
"497",591.8
"498",3.4
"499",3.6
"500",1055.4
"501",1097.6
"502",1201
"503",1022.2
"504",554.8
"505",3.6
"506",877
"507",976.8
"508",1122.4
"509",1196.6
"510",1082.2
"511",507.2
"512",0.8
"513",911.2
"514",1251.8
"515",1387.6
"516",1501.2
"517",1419.4
"518",528.8
"519",2
"520",1.6
"521",775
"522",1047.8
"523",1233.2
"524",1145.8
"525",567.4
"526",0.4
"527",0.2
"528",1043.6
"529",1104.6
"530",1206
"531",1070.2
"532",544.6
"533",6.2
"534",872.2
"535",1016.8
"536",1081
"537",1236.8
"538",1034.2
"539",523.2
"540",1
"541",942.4
"542",1087.2
"543",1373.6
"544",1444
"545",1300
"546",755.2
"547",6
"548",1
"549",829
"550",981.4
"551",1137.6
"552",1057.4
"553",515.6
"554",0.2
"555",928.6
"556",1060
"557",1219.8
"558",1181.6
"559",1053.2
"560",580.4
"561",0.6
"562",915.8
"563",1019.6
"564",1193.6
"565",1227.4
"566",1225
"567",27.6
"568",0.4
"569",834.2
"570",1046.6
"571",1182.8
"572",1273
"573",1178.8
"574",619.2
"575",4.8
"576",1038
"577",1256.4
"578",1403.8
"579",1164.6
"580",1089.8
"581",541.6
"582",0
"583",869
"584",1015.8
"585",5.6
"586",1159
"587",961.8
"588",534.6
"589",4.6
"590",990.2
"591",1220.4
"592",1301.4
"593",1290.4
"594",1043
"595",502.2
"596",1.2
"597",0
"598",960.6
"599",1081.4
"600",1163.8
"601",1001.8
"602",546
"603",12.6
"604",882.4
"605",1062.6
"606",1236.4
"607",1346.6
"608",1224
"609",690.4
"610",0.2
"611",805
