"","x"
"1867",883.4
"1868",789.8
"1869",348.6
"1870",0.8
"1871",801
"1872",837
"1873",845.6
"1874",862.6
"1875",695.2
"1876",311
"1877",0
"1878",722.6
"1879",769.4
"1880",842.4
"1881",927.8
"1882",815
"1883",416.2
"1884",0.6
"1885",1054.4
"1886",1339.6
"1887",661.4
"1888",639.2
"1889",606.8
"1890",388.8
"1891",0.4
"1892",630.4
"1893",759
"1894",843.4
"1895",899.6
"1896",770.8
"1897",324.8
"1898",0.8
"1899",729.4
"1900",859.2
"1901",852.4
"1902",868
"1903",726.6
"1904",279.6
"1905",0
"1906",0
"1907",801.4
"1908",815.6
"1909",870.2
"1910",832
"1911",533.8
"1912",3
"1913",1080.4
"1914",1188.2
"1915",1356.2
"1916",1580.6
"1917",1586.4
"1918",268.4
"1919",1.8
"1920",521
"1921",609.4
"1922",775.2
"1923",882.8
"1924",793.2
"1925",373.4
"1926",0.2
"1927",730.2
"1928",787.4
"1929",864.4
"1930",0.4
"1931",0.4
"1932",165.2
"1933",0.2
"1934",681.2
"1935",704.4
"1936",784.8
"1937",856.8
"1938",751.6
"1939",385
"1940",0.6
"1941",748.4
"1942",952.8
"1943",1117.2
"1944",1335.6
"1945",1424.8
"1946",858.8
"1947",3
"1948",0.2
"1949",593.4
"1950",681.2
"1951",755.8
"1952",691.8
"1953",347.8
"1954",0
"1955",653.8
"1956",806.8
"1957",807
"1958",899.2
"1959",744.8
"1960",303.8
"1961",0.8
"1962",667.6
"1963",738.4
"1964",833
"1965",832.6
"1966",760.8
"1967",501
"1968",0.8
"1969",718.8
"1970",854.8
"1971",993.6
"1972",1097
"1973",1079.8
"1974",891.4
"1975",2.4
"1976",2.4
"1977",1421.2
"1978",1463.8
"1979",667.2
"1980",599.4
"1981",266
"1982",2.6
"1983",527.2
"1984",639.8
"1985",791.2
"1986",826
"1987",719
"1988",337.6
"1989",0.2
"1990",688.2
"1991",765.2
"1992",824
"1993",853
"1994",754.6
"1995",359
"1996",1
"1997",1
"1998",845.4
"1999",912.8
"2000",997.8
"2001",854.8
"2002",441
"2003",0
"2004",0
"2005",1016.8
"2006",1421.2
"2007",1829.2
"2008",1467
"2009",231.4
"2010",0
"2011",0
"2012",565.6
"2013",639.8
"2014",785
"2015",707.2
"2016",332.8
"2017",0.2
"2018",677.4
"2019",745.6
"2020",851.2
"2021",890.8
"2022",759.8
"2023",388.2
"2024",1.2
"2025",750.2
"2026",820.4
"2027",891
"2028",0.4
"2029",778.4
"2030",350.6
"2031",0.2
"2032",769.4
"2033",846.8
"2034",1102
"2035",1231
"2036",1409.4
"2037",1192
"2038",0.2
"2039",1143.2
"2040",610.6
"2041",720.8
"2042",736
"2043",665
"2044",321.2
"2045",0.2
"2046",0.4
"2047",793.4
"2048",844.6
"2049",824.6
"2050",786.2
"2051",354
"2052",0.4
"2053",717.8
"2054",829.2
"2055",944.6
"2056",932
"2057",758.2
"2058",350.6
"2059",0.4
"2060",0.6
"2061",849.6
"2062",860.2
"2063",995.6
"2064",880.8
"2065",472.8
"2066",0.4
"2067",1167.6
"2068",1204.4
"2069",1612
"2070",1599.6
"2071",643.8
"2072",398.8
"2073",1.4
"2074",552.6
"2075",649.8
"2076",750.6
"2077",792.2
"2078",655.4
"2079",340.4
"2080",1.6
"2081",646.6
"2082",822.8
"2083",885.8
"2084",902.4
"2085",739
"2086",313
"2087",0.2
"2088",664
"2089",659
"2090",801.2
"2091",813.4
"2092",756.6
"2093",326.4
"2094",0.6
"2095",788.6
"2096",991.4
"2097",1209
"2098",1483.2
"2099",1399
"2100",848.2
"2101",0
"2102",515
"2103",606.2
"2104",686.4
"2105",714.6
"2106",693.6
"2107",327.8
"2108",1.6
"2109",658
"2110",731
"2111",876.4
"2112",889.2
"2113",738.2
"2114",340.6
"2115",0
"2116",0
"2117",659.4
"2118",724.2
"2119",826
"2120",717.4
"2121",344.2
"2122",1.8
"2123",708.2
"2124",848
"2125",992.8
"2126",1129
"2127",1070.8
"2128",662.4
"2129",2
"2130",1627.6
"2131",1597.4
"2132",641.2
"2133",734
"2134",653
"2135",334.6
"2136",1.6
"2137",1.6
"2138",748
"2139",854.4
"2140",910.6
"2141",786.4
"2142",333
"2143",3.8
"2144",0
"2145",730.2
"2146",831.4
"2147",898.4
"2148",810.2
"2149",361.8
"2150",0.8
"2151",871
"2152",907.6
"2153",1097.2
"2154",1199.8
"2155",1116.2
"2156",545.4
"2157",1
"2158",1078.2
"2159",1593.6
"2160",1815.4
"2161",2056.2
"2162",673.8
"2163",436.6
"2164",0.6
"2165",730
"2166",842.2
"2167",1006.8
"2168",900
"2169",7.8
"2170",387.6
"2171",0
"2172",812.6
"2173",1037.6
"2174",1175
"2175",1202.4
"2176",1023.8
"2177",593
"2178",0.8
"2179",993
"2180",1263.8
"2181",1412.6
"2182",1528
"2183",1331.6
"2184",825.4
"2185",1.4
"2186",0.6
"2187",1507.4
"2188",2187.4
"2189",2643
"2190",1698.6
"2191",503.4
"2192",1
