"","Fecha","Unidades"
"264",2018-09-21,865
"265",2018-09-22,363
"266",2018-09-23,1
"267",2018-09-24,814
"268",2018-09-25,811
"269",2018-09-26,1000
"270",2018-09-27,1131
"271",2018-09-28,1246
"272",2018-09-29,782
"273",2018-09-30,1
"274",2018-10-01,538
"275",2018-10-02,591
"276",2018-10-03,668
"277",2018-10-04,682
"278",2018-10-05,819
"279",2018-10-06,361
"280",2018-10-07,2
"281",2018-10-08,659
"282",2018-10-09,687
"283",2018-10-10,880
"284",2018-10-11,900
"285",2018-10-12,882
"286",2018-10-13,372
"287",2018-10-14,0
"288",2018-10-15,0
"289",2018-10-16,664
"290",2018-10-17,715
"291",2018-10-18,816
"292",2018-10-19,839
"293",2018-10-20,380
"294",2018-10-21,2
"295",2018-10-22,709
"296",2018-10-23,819
"297",2018-10-24,942
"298",2018-10-25,1070
"299",2018-10-26,938
"300",2018-10-27,693
"301",2018-10-28,2
"302",2018-10-29,1560
"303",2018-10-30,1756
"304",2018-10-31,2096
"305",2018-11-01,686
"306",2018-11-02,606
"307",2018-11-03,358
"308",2018-11-04,0
"309",2018-11-05,2
"310",2018-11-06,691
"311",2018-11-07,841
"312",2018-11-08,923
"313",2018-11-09,544
"314",2018-11-10,368
"315",2018-11-11,2
"316",2018-11-12,0
"317",2018-11-13,897
"318",2018-11-14,841
"319",2018-11-15,932
"320",2018-11-16,796
"321",2018-11-17,395
"322",2018-11-18,1
"323",2018-11-19,931
"324",2018-11-20,924
"325",2018-11-21,1133
"326",2018-11-22,1238
"327",2018-11-23,1117
"328",2018-11-24,624
"329",2018-11-25,1
"330",2018-11-26,1035
"331",2018-11-27,1310
"332",2018-11-28,2031
"333",2018-11-29,2299
"334",2018-11-30,1298
"335",2018-12-01,472
"336",2018-12-02,0
"337",2018-12-03,683
"338",2018-12-04,738
"339",2018-12-05,918
"340",2018-12-06,913
"341",2018-12-07,736
"342",2018-12-08,8
"343",2018-12-09,0
"344",2018-12-10,760
"345",2018-12-11,897
"346",2018-12-12,1056
"347",2018-12-13,1096
"348",2018-12-14,880
"349",2018-12-15,475
"350",2018-12-16,1
"351",2018-12-17,914
"352",2018-12-18,1188
"353",2018-12-19,1369
"354",2018-12-20,1499
"355",2018-12-21,1248
"356",2018-12-22,696
"357",2018-12-23,2
"358",2018-12-24,926
"359",2018-12-25,1
"360",2018-12-26,2132
"361",2018-12-27,2403
"362",2018-12-28,1450
"363",2018-12-29,500
"364",2018-12-30,1
"365",2018-12-31,1190
